"Year","Trade.Flow","Commodity.Code","Netweight..kg."
"2014","Re-exports","805",1156504
"2014","Re-imports","805",0
"2015","Imports","805",3785508
"2015","Exports","805",1416799677
"2015","Re-exports","805",30
"2015","Re-imports","805",0
"2016","Imports","805",7898775
"2016","Exports","805",1289882920
"2016","Re-exports","805",164592
"2016","Re-imports","805",121958
"2017","Imports","805",8467563
"2017","Exports","805",1359436450.5
"2017","Re-exports","805",129420
"2017","Re-imports","805",1300
"2018","Imports","805",10089248
"2018","Exports","805",1579446917
"2018","Re-exports","805",700884
"2018","Re-imports","805",22250
"2019","Imports","805",10239902
"2019","Exports","805",1589385320
"2019","Re-exports","805",2767650
"2019","Re-imports","805",0
"2020","Imports","805",4345567
"2020","Exports","805",630389756
"2020","Re-exports","805",1840981
"2020","Re-imports","805",0
"2010","Imports","806",139851
"2010","Exports","806",306781560
"2010","Re-exports","806",1094459
"2010","Re-imports","806",0
"2011","Imports","806",297813
"2011","Exports","806",304676466
"2011","Re-exports","806",5776799
"2011","Re-imports","806",0
"2012","Imports","806",692029
"2012","Exports","806",362635826
"2012","Re-exports","806",2373911
"2012","Re-imports","806",0
"2013","Imports","806",619372
"2013","Exports","806",377018326.5
"2013","Re-exports","806",3471969
"2013","Re-imports","806",173
"2014","Imports","806",803850
"2014","Exports","806",334940526.5
"2014","Re-exports","806",552411
"2014","Re-imports","806",0
"2015","Imports","806",578629
"2015","Exports","806",251818591
"2015","Re-exports","806",0
"2015","Re-imports","806",0
"2016","Imports","806",576146
"2016","Exports","806",169553131
"2016","Re-exports","806",18800
"2016","Re-imports","806",0
"2017","Imports","806",1250087
"2017","Exports","806",347683397
"2017","Re-exports","806",21470
"2017","Re-imports","806",0
"2018","Imports","806",550624
"2018","Exports","806",223415540
"2018","Re-exports","806",1074725
"2018","Re-imports","806",0
"2019","Imports","806",1120092
"2019","Exports","806",284671280
"2019","Re-exports","806",0
"2019","Re-imports","806",40410
"2020","Imports","806",387006
"2020","Exports","806",145882524
"2020","Re-exports","806",7449
"2020","Re-imports","806",40556
"2010","Imports","807",13773758
"2010","Exports","807",31900780
"2010","Re-exports","807",8400
"2010","Re-imports","807",0
"2011","Imports","807",20751193
"2011","Exports","807",21111982
