"Classification","Year","Period","Period.Desc.","Aggregate.Level","Is.Leaf.Code","Trade.Flow.Code","Trade.Flow","Reporter.Code","Reporter","Reporter.ISO","Partner.Code","Partner","Partner.ISO","X2nd.Partner.Code","X2nd.Partner","X2nd.Partner.ISO","Customs.Proc..Code","Customs","Mode.of.Transport.Code","Mode.of.Transport","Commodity.Code","Commodity","Qty.Unit.Code","Qty.Unit","Qty","Alt.Qty.Unit.Code","Alt.Qty.Unit","Alt.Qty","Netweight..kg.","Gross.weight..kg.","Trade.Value..US..","CIF.Trade.Value..US..","FOB.Trade.Value..US..","Flag"
"HS",2013,201302,"February 2013",4,0,1,"Imports",97,"EU-28",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,805,"Citrus fruit; fresh or dried",NA,NA,NA,NA,NA,NA,2220,NA,1335,NA,NA,0
"HS",2013,201303,"March 2013",4,0,1,"Imports",97,"EU-28",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,805,"Citrus fruit; fresh or dried",NA,NA,NA,NA,NA,NA,1090,NA,1165,NA,NA,0
"HS",2013,201311,"November 2013",4,0,1,"Imports",97,"EU-28",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,805,"Citrus fruit; fresh or dried",NA,NA,NA,NA,NA,NA,518,NA,977,NA,NA,0
"HS",2013,201301,"January 2013",4,0,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,805,"Citrus fruit; fresh or dried",NA,NA,NA,NA,NA,NA,211349,NA,247300,NA,NA,0
"HS",2013,201302,"February 2013",4,0,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,805,"Citrus fruit; fresh or dried",NA,NA,NA,NA,NA,NA,23302,NA,30100,NA,NA,0
"HS",2013,201303,"March 2013",4,0,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,805,"Citrus fruit; fresh or dried",NA,NA,NA,NA,NA,NA,81115,NA,68600,NA,NA,0
"HS",2013,201304,"April 2013",4,0,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,805,"Citrus fruit; fresh or dried",NA,NA,NA,NA,NA,NA,101089,NA,80100,NA,NA,0
"HS",2013,201305,"May 2013",4,0,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,805,"Citrus fruit; fresh or dried",NA,NA,NA,NA,NA,NA,23601,NA,24000,NA,NA,0
"HS",2013,201306,"June 2013",4,0,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,805,"Citrus fruit; fresh or dried",NA,NA,NA,NA,NA,NA,40717,NA,76600,NA,NA,0
"HS",2013,201307,"July 2013",4,0,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,805,"Citrus fruit; fresh or dried",NA,NA,NA,NA,NA,NA,79959,NA,85700,NA,NA,0
