"NotebookName","Diag","Matrix","CPU","Memory","Hz","RAM","Ranking"
"HP 250 G7",15.6,"SVA / TN","AMD Athlon Silver / AMD Ryzen 3 / AMD Ryzen 5",NA,"60","4...16",4.4
"Lenovo ThinkPad E14",14,"IPS","AMD Ryzen 3 / AMD Ryzen 5 / AMD Ryzen 7 / Intel Core i3 / Intel","128...512",NA,"4...16",4.8
"Acer Extensa 15 EX215-22",15.6,"TN","Intel Core i7 / Intel Core i9",NA,"60","16...64",4.5
"HUAWEI MateBook 13",13,"IPS","AMD Athlon / AMD Athlon Gold / AMD Athlon Silver / AMD Ryzen","128...1024",NA,"4...16",4.5
"ASUS Laptop 15 X509",15.6,"IPS / TN","Intel Celeron / Intel Pentium / Intel Pentium Silver",NA,"60","4",4.5
"GIGABYTE AERO 15 OLED",15.6,"OLED","Intel Core i7 / Intel Core i9",NA,"60","16...64",5
"ASUS ROG Zephyrus G14 GA401",14,"IPS","AMD Ryzen 3 / AMD Ryzen 5 / AMD Ryzen 7 / Intel Core",NA,"60","4...16",4.7
"ASUS E203",11.6,"TN","Intel Core i3 / Intel Core i5",NA,"60","8",4.4
"Apple MacBook Pro 16 Late 2019",16,"IPS","Intel Core i5 / Intel Core i7",NA,"144","8...16",4.7
"Lenovo ThinkBook 15 G2",15.6,"IPS","AMD Ryzen 5 / AMD Ryzen 7",NA,"60","8...16",4.4
"Acer ASPIRE 5 A514-54",14,"IPS","AMD Ryzen 3 / AMD Ryzen 5 / AMD Ryzen 7 / Intel Core",NA,"60","4...16",4.6
"HP PAVILION 15-dk1",15.6,"IPS","Intel Core i5 / Intel Core i7",NA,"60","8",4.7
"ASUS ZenBook 14 UM431",14,"IPS","Intel Core i5 / Intel Core i7",NA,"144","8...32",4.7
"Lenovo ThinkBook 14 G2",14,"IPS","Intel Core i7",NA,"144...300","16",5
"Xiaomi RedmiBook 14"" II Ryzen Edition",14,"IPS","Intel Core i5","256...512",NA,"8...16",4.7
